guest_id,asof_date,aov_7d,visits_7d,aov_28d,visits_28d,aov_90d,visits_90d,aov_365d,recency_days,redemption_rate_90d,coupon_depth_90d,daypart_ratio_breakfast,daypart_ratio_lunch,daypart_ratio_dinner,solo_group_ratio,delivery_ratio,touches_72h,touches_email_72h,touches_push_72h,touches_inapp_72h,no_convert_72h,assist_email_72h,assist_push_72h,assist_inapp_72h,assist_web_72h,sku_affinity_topk_stub,new_item_trial_flag,rfm_r,rfm_f,rfm_m,mosaic_segment,holiday_flag,season,feature_ts,build_version,snapshot_id
03bfc8PX,2025-09-05,15.910000,1,15.910000,1,14.240000,2,16.396666,3,0.00000000000000000000,2.865000,0.000000,0.666666,0.333333,NULL,0.000000,0,0,0,0,0,0.00000000000000000000,0.00000000000000000000,0.00000000000000000000,0.00000000000000000000,0,0,5,5,4,NULL,NULL,fall,2025-10-07 20:25:34.270,feature_mart,snap_20250905
08eVRjbD,2025-09-05,0.000000,0,0.000000,0,0.000000,0,0.000000,365,0.00000000000000000000,0.000000,0.000000,0.000000,0.000000,NULL,0.000000,0,0,0,0,0,0.00000000000000000000,0.00000000000000000000,0.00000000000000000000,0.00000000000000000000,0,0,1,2,2,NULL,NULL,fall,2025-10-07 20:25:34.270,feature_mart,snap_20250905
0eKxhGR5,2025-09-05,0.000000,0,0.000000,0,0.000000,0,0.000000,365,0.00000000000000000000,0.000000,0.000000,0.000000,0.000000,NULL,0.000000,0,0,0,0,0,0.00000000000000000000,0.00000000000000000000,0.00000000000000000000,0.00000000000000000000,0,0,1,2,2,NULL,NULL,fall,2025-10-07 20:25:34.270,feature_mart,snap_20250905
0FgB9xO5,2025-09-05,0.000000,0,0.000000,0,0.000000,0,22.770000,251,0.00000000000000000000,0.000000,0.000000,0.000000,0.000000,NULL,0.000000,0,0,0,0,0,0.00000000000000000000,0.00000000000000000000,0.00000000000000000000,0.00000000000000000000,0,0,2,1,1,NULL,NULL,fall,2025-10-07 20:25:34.270,feature_mart,snap_20250905
0FgB9xO5,2025-09-05,0.000000,0,0.000000,0,0.000000,0,22.770000,251,0.00000000000000000000,0.000000,0.000000,0.000000,0.000000,NULL,0.000000,0,0,0,0,0,0.00000000000000000000,0.00000000000000000000,0.00000000000000000000,0.00000000000000000000,0,0,2,2,2,NULL,NULL,fall,2025-10-07 20:25:34.270,feature_mart,snap_20250905
0Oj1Mqu6,2025-09-05,0.000000,0,0.000000,0,0.000000,0,24.477500,116,0.00000000000000000000,0.000000,0.000000,0.500000,0.500000,NULL,0.000000,0,0,0,0,0,0.00000000000000000000,0.00000000000000000000,0.00000000000000000000,0.00000000000000000000,0,0,4,1,1,NULL,NULL,fall,2025-10-07 20:25:34.270,feature_mart,snap_20250905
0Oj1Mqu6,2025-09-05,0.000000,0,0.000000,0,0.000000,0,24.477500,116,0.00000000000000000000,0.000000,0.000000,0.500000,0.500000,NULL,0.000000,0,0,0,0,0,0.00000000000000000000,0.00000000000000000000,0.00000000000000000000,0.00000000000000000000,0,0,4,2,2,NULL,NULL,fall,2025-10-07 20:25:34.270,feature_mart,snap_20250905
0pfDCZKC,2025-09-05,0.000000,0,0.000000,0,0.000000,0,0.000000,365,0.00000000000000000000,0.000000,0.000000,0.000000,0.000000,NULL,0.000000,0,0,0,0,0,0.00000000000000000000,0.00000000000000000000,0.00000000000000000000,0.00000000000000000000,0,0,1,2,2,NULL,NULL,fall,2025-10-07 20:25:34.270,feature_mart,snap_20250905
0T0z7etk,2025-09-05,0.000000,0,34.590000,1,34.590000,1,32.330000,27,0.00000000000000000000,0.000000,0.000000,0.000000,0.500000,NULL,0.000000,0,0,0,0,0,0.00000000000000000000,0.00000000000000000000,0.00000000000000000000,0.00000000000000000000,0,0,5,5,5,NULL,NULL,fall,2025-10-07 20:25:34.270,feature_mart,snap_20250905
0W3iPRje,2025-09-05,0.000000,0,0.000000,0,26.410000,1,26.386666,32,0.00000000000000000000,0.000000,0.000000,0.000000,0.666666,NULL,0.000000,0,0,0,0,0,0.00000000000000000000,0.00000000000000000000,0.00000000000000000000,0.00000000000000000000,0,0,5,4,5,NULL,NULL,fall,2025-10-07 20:25:34.270,feature_mart,snap_20250905
